"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
495	propter	84438	15.956	8	8	0
496	solus1	52836	9.984	7	6	0
497	ego	352812	66.668	43	41	0
498	persona	42475	8.026	6	6	0
499	iudico	41457	7.834	7	7	0
500	deus	680334	128.557	81	73	0
501	iuxta1	44117	8.336	6	6	0
502	usque	86805	16.403	12	12	0
503	clericus2	24630	4.654	5	5	0
504	quoque	82940	15.673	11	11	0
505	humanus1	52825	9.982	7	7	0
506	idem2	204398	38.623	22	22	0
507	timeo	34286	6.479	5	5	0
508	totus	103392	19.537	13	13	0
509	multus	108614	20.524	13	13	0
510	uterque	45021	8.507	5	5	0
511	mundus2	73097	13.813	8	8	0
512	debeo	117250	22.156	12	11	0
513	uoluntas	59039	11.156	6	6	0
514	mater	37910	7.164	7	7	0
515	annus	97379	18.401	9	9	0
516	potius	28313	5.35	5	5	0
517	seculum	49581	9.369	7	6	0
518	sermo	46096	8.71	7	7	0
519	siue	95295	18.007	10	9	0
520	uos	193048	36.479	18	16	0
521	oculus	53527	10.115	6	6	0
522	quicumque	43789	8.275	6	6	0
523	quisquis1	36782	6.95	6	6	0
524	diuinus1	86936	16.428	11	10	0
525	relinquo	31698	5.99	6	6	0
526	igitur	82223	15.537	10	10	0
527	scientia	26399	4.988	5	5	0
528	noster	286686	54.173	38	32	0
529	profero	20724	3.916	5	5	0
530	proprius1	61683	11.656	7	7	0
531	futurus	44532	8.415	5	5	0
532	2	47734	9.02	6	6	0
533	cognosco	56402	10.658	6	6	0
534	duo	81919	15.48	12	11	0
535	adhuc	43397	8.2	7	7	0
536	aliquis	128304	24.245	16	16	0
537	contra2	73954	13.975	11	10	0
538	scribo1	95748	18.093	9	9	0
539	nolo	50410	9.526	8	8	0
540	prius	35816	6.768	6	5	0
541	unus	180002	34.014	20	20	0
542	uxor	28685	5.42	5	4	0
543	gaudium	24617	4.652	5	5	0
544	gratia2	121792	23.014	14	14	0
545	doceo	45778	8.65	7	7	0
546	manus2	88480	16.719	9	9	0
547	cunctus	41653	7.871	5	5	0
548	bene	36928	6.978	6	6	0
549	uoco	56415	10.66	9	8	0
550	hic1	73597	13.907	11	10	0
551	tam	67456	12.747	9	9	0
552	sanctus1	286481	54.134	25	25	0
553	facio	382326	72.245	50	44	0
554	sequor	69615	13.155	8	8	0
555	probo	27137	5.128	5	5	0
556	ueritas	68144	12.877	6	6	0
557	<unknown>	785834	148.493	55	43	0
558	ecclesia	238902	45.143	15	15	0
559	iustitia	61353	11.593	5	5	0
560	populus1	96120	18.163	8	8	0
561	-	1669012	315.38	90	80	0
562	pax	51296	9.693	5	5	0
563	nouus	49529	9.359	5	5	0
564	dico1	82229	15.538	6	6	0
565	celum	89967	17	7	7	0
566	spiritus	163219	30.842	6	6	0
567	super	123825	23.398	6	6	0
568	tuus	272397	51.473	21	21	0
569	mitto	65136	12.308	6	6	0
570	credo2	104556	19.757	9	9	0
571	nomen	116016	21.923	6	6	0
572	1	75496	14.266	7	7	0
573	ordo	49198	9.297	5	5	0
574	regnum	72632	13.725	5	5	0
575	res	106314	20.089	8	8	0
576	apud	68524	12.948	5	5	0
577	ueneo	94595	17.875	8	8	0
578	iudicium	65090	12.3	5	5	0
579	filius	249783	47.2	16	16	0
580	pater	205243	38.783	14	13	0
581	peccatum	130132	24.59	11	11	0
582	uester	125167	23.652	9	9	0
583	iste2	118621	22.415	9	8	0
