"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1687	accido1	7631	8.652	5	5	0
1688	mox	17369	19.693	8	7	0
1689	gener	13083	14.833	7	7	0
1690	triumphus	3724	4.222	5	5	0
1691	afficio	3957	4.486	5	5	0
1692	malitia	12091	13.708	6	4	0
1693	quattuor	25582	29.004	10	10	0
1694	dolor	22230	25.204	9	9	0
1695	supra1	16363	18.552	8	8	0
1696	miraculum	7378	8.365	5	5	0
1697	firmo	9903	11.228	6	6	0
1698	participatio	2860	3.243	5	5	0
1699	demonium	4075	4.62	5	3	0
1700	benignus	7792	8.834	5	5	0
1701	paulus	37901	42.971	11	11	0
1702	penitens	3579	4.058	5	5	0
1703	loquor	84792	96.135	21	20	0
1704	prosterno	6430	7.29	5	5	0
1705	perfectio	10816	12.263	6	6	0
1706	prout	7058	8.002	5	4	0
1707	pignus	3514	3.984	5	5	0
1708	intendo	12721	14.423	7	7	0
1709	humilis	17138	19.431	8	8	0
1710	offendo	8912	10.104	5	5	0
1711	minister2	9179	10.407	6	6	0
1712	figura	12553	14.232	7	6	0
1713	ascendo	30932	35.07	11	11	0
1714	iuxta1	44117	50.019	14	13	0
1715	electus1	3812	4.322	5	3	0
1716	breuis1	8932	10.127	6	6	0
1717	calco	3481	3.947	5	5	0
1718	excedo	6012	6.816	5	4	0
1719	sabbatum	10431	11.826	6	5	0
1720	mereo1	16029	18.173	6	6	0
1721	abbas	45806	51.934	10	7	0
1722	ordo	49198	55.779	12	11	0
1723	presentia	16907	19.169	5	5	0
1724	littera	41740	47.324	9	9	0
1725	dictum	17050	19.331	6	6	0
1726	interpretor	19071	21.622	6	6	0
1727	operatio	11284	12.794	5	4	0
1728	attendo	16271	18.448	6	6	0
1729	pretereo	15610	17.698	5	4	0
1730	quartus	20065	22.749	5	5	0
1731	ignoro	17545	19.892	6	6	0
1732	eicio	9306	10.551	5	5	0
1733	timeo	34286	38.873	9	8	0
1734	restituo	11869	13.457	5	3	0
1735	longe	20319	23.037	5	5	0
1736	dilectio	25310	28.696	6	6	0
1737	pes	28406	32.206	7	7	0
1738	mille	18571	21.055	5	5	0
1739	compono	10493	11.897	5	4	0
1740	confessio	18208	20.644	5	5	0
1741	negotium	15043	17.055	5	5	0
1742	habito	22489	25.497	6	5	0
1743	scientia	26399	29.93	7	7	0
1744	clamo	19858	22.514	5	5	0
1745	commendo	17356	19.678	5	5	0
1746	gloria	64235	72.828	12	12	0
1747	o	28889	32.754	7	7	0
1748	patria	13916	15.778	5	5	0
1749	consisto	10783	12.226	5	5	0
1750	grauis	20476	23.215	5	5	0
1751	uinco	19705	22.341	6	6	0
1752	mandatum	21342	24.197	6	6	0
1753	intellectus	15151	17.178	6	6	0
1754	scribo1	95748	108.556	18	18	0
1755	3	41232	46.748	9	8	0
1756	coram2	22862	25.92	6	5	0
1757	occasio	12072	13.687	5	5	0
1758	merito1	17097	19.384	5	5	0
1759	regio	11954	13.553	5	5	0
1760	timor	26955	30.561	6	6	0
1761	pascha	10463	11.863	5	4	0
1762	bona	41041	46.531	10	9	0
1763	supra2	15813	17.928	5	5	0
1764	demonstro	16774	19.018	6	6	0
1765	penitentia	33310	37.766	9	6	0
1766	caput	46690	52.936	10	10	0
1767	obtineo	16325	18.509	5	5	0
1768	trinitas	18856	21.378	5	4	0
1769	perduco	9480	10.748	5	5	0
1770	iniquus1	11603	13.155	5	5	0
1771	mare	36490	41.371	7	7	0
1772	antiquus	20253	22.962	5	3	0
1773	respondeo	44354	50.287	8	8	0
1774	secundus	43007	48.76	9	7	0
1775	saluator	22792	25.841	7	7	0
1776	religio	17329	19.647	5	5	0
1777	describo	9145	10.368	5	5	0
1778	alibi	11764	13.338	5	5	0
1779	publicus1	15816	17.932	6	5	0
1780	uisio	13556	15.369	5	4	0
1781	succedo	10355	11.74	5	5	0
1782	precapio	13422	15.218	5	5	0
1783	declino	9536	10.812	5	5	0
1784	baptizo	20152	22.848	6	3	0
1785	resurgo	17142	19.435	5	5	0
1786	clericus2	24630	27.925	7	6	0
1787	post1	10370	11.757	5	5	0
1788	forma	24707	28.012	6	6	0
1789	comprehendo	11409	12.935	5	4	0
1790	partim	4210	4.773	5	3	0
1791	induo	13999	15.872	5	5	0
1792	propinquus1	12884	14.608	5	5	0
1793	iniquitas	28538	32.356	7	7	0
1794	liber1	47634	54.006	8	8	0
1795	uox	54594	61.897	9	9	0
1796	iudicium	65090	73.797	7	7	0
1797	monasterium	42529	48.218	5	5	0
1798	profero	20724	23.496	5	5	0
1799	2	47734	54.119	6	5	0
1800	signum	76045	86.218	9	5	0
1801	procedo	22388	25.383	5	5	0
1802	cognosco	56402	63.947	8	8	0
1803	sententia	41242	46.759	6	5	0
1804	princeps	47446	53.793	8	7	0
1805	numerus	33051	37.472	6	6	0
1806	rex	141582	160.522	19	15	0
1807	catholicus	25919	29.386	5	5	0
1808	facies	24061	27.28	5	5	0
1809	persona	42475	48.157	5	5	0
1810	donum	21729	24.636	5	5	0
1811	urbs	33162	37.598	5	4	0
1812	celebro	21027	23.84	5	5	0
1813	honor	45202	51.249	7	6	0
1814	domina	51239	58.093	6	6	0
1815	ecclesiasticus1	23024	26.104	5	5	0
1816	presbyter	31775	36.026	6	4	0
