"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
034_AugHip_LoInHe	30907	2	64.71
034_AugHip_QuInHe	144685	13	89.85
034_AugHip_SpDeScS	76511	8	104.56
035_AuInAuH_DeMiSaS	30878	12	388.63
035_AuInAuH_QuVeEtN	122902	10	81.37
035_AugHip_ExInEpA	8972	1	111.46
035_AugHip_ExPrExE	12106	4	330.41
035_AugHip_InEpJoA	47505	5	105.25
035_AugHip_InJoEvT	330915	76	229.67
035_AugHip_QuaEva	20457	6	293.3
036_AugHip_EnInPs	517193	71	137.28
038_AugHip_SeDeSa	123304	9	72.99
038_AugHip_SeDeSc	514614	86	167.12
038_AugHip_SeDeTe	128408	36	280.36
039_AuInAuH_SeSuDeD	112634	34	301.86
039_AuInAuH_SeSuDeS	150297	44	292.75
039_AuInAuH_SeSuDeS2	46208	20	432.83
039_AuInAuH_SeSuDeT	73057	44	602.27
039_AugHip_FraSer	7934	2	252.08
039_AugHip_SeDeDi	76114	32	420.42
039_AugHip_SerDub	43052	12	278.73
040_AelRie_DeAmi	7048	1	141.88
040_AuHiAuI_AdFrInE	81115	24	295.88
040_AuHiAuV_LibSen	4811	2	415.71
040_AuInAuH_DeCoVeV	15181	1	65.87
040_AuInAuH_DeQuFe	4467	1	223.86
040_AuInAuH_DeReVeF	16519	3	181.61
040_AuInAuH_DeVeEtF	10756	2	185.94
040_AuInAuH_DeXiGrA	5403	4	740.33
040_AuInAuH_DiaQua	12157	2	164.51
040_AuInAuH_Medita	25624	3	117.08
040_AuInBeC_ScaPar	4065	1	246
040_AucInc_DeDiDe	9665	1	103.47
040_AucInc_DeGeEl	979	1	1021.45
040_AucInc_DeReCaC	14000	7	500
040_AucInc_DeSaDo	19500	8	410.26
040_AucInc_DeSoEtC	3953	2	505.94
040_AucInc_DeSpEtA	32138	6	186.69
040_AucInc_DeTrHa	3539	2	565.13
040_AucInc_DeViCh	9161	3	327.48
040_AucInc_DeViIn	6482	3	462.82
040_AucInc_SoAnAdD	22967	3	130.62
040_AucInc_SpePec	4284	2	466.85
040_AucInc_Specul	10097	1	99.04
040_AugHip_ConMen	15137	1	66.06
040_AugHip_DeAgCh	9681	3	309.89
040_AugHip_DeBoCo	11248	8	711.24
040_AugHip_DeCaRu	18098	3	165.76
040_AugHip_DeDiQu	43934	11	250.38
040_AugHip_DeFiEtO	15999	1	62.5
040_AugHip_DeFiSpE	27374	5	182.66
040_AugHip_DeOpMo	16342	10	611.92
040_AugHip_DeSaVi	16272	1	61.46
040_AugHip_DeUtJe	4941	15	3035.82
040_AugHip_SeIiDeS	10642	4	375.87
041_AucInc_DeMiSSt	11940	4	335.01
041_AugHip_DeCiDe	357027	27	75.62
042_AuInGeM_DeEcDo	4814	3	623.18
042_AugHip_AdvJud3	6264	1	159.64
042_AugHip_CoAdLeE	32025	14	437.16
042_AugHip_CoFaMa	157236	62	394.31
042_AugHip_CoJuPaE	9553	1	104.68
042_AugHip_CoMaEpA	40470	1	24.71
042_AugHip_CoSeMa	12540	2	159.49
042_AugHip_ConAdi	22049	9	408.18
042_AugHip_DeAcCuF	16557	4	241.59
042_AugHip_DeDuAn	8560	1	116.82
042_AugHip_DeHae2	11982	4	333.83
042_AugHip_DeTri5	147246	6	40.75
042_AugHip_DeUtCr	13609	3	220.44
043_AucVar_ExPeAdH	40013	1	24.99
043_AugHip_CoCrGrD	70866	2	28.22
043_AugHip_CoEpPa	34604	18	520.17
043_AugHip_CoLiPe	71839	3	41.76
043_AugHip_ConGau	22728	2	88
043_AugHip_DeBaCoD	66035	2	30.29
043_AugHip_PoCoAdD	18279	1	54.71
044_AugHip_CoDuEpP	43563	5	114.78
044_AugHip_ConJul	115330	23	199.43
044_AugHip_DeAnEtE	37625	7	186.05
044_AugHip_DeGePe	19430	1	51.47
044_AugHip_DeNaEtG	21732	6	276.09
044_AugHip_DeNuEtC	29694	1	33.68
